id,name,url,label_png
AC001,AOD4184,https://thibserot.github.io/electronics-catalog/qr/AC001/,components/stickers/AC001.png
PS201,TP4056,https://thibserot.github.io/electronics-catalog/qr/PS201/,components/stickers/PS201.png
PS202,CN3065,https://thibserot.github.io/electronics-catalog/qr/PS202/,components/stickers/PS202.png
PS200,Battery Charging,https://thibserot.github.io/electronics-catalog/qr/PS200/,components/stickers/PS200.png
CN001,Male Pin Header,https://thibserot.github.io/electronics-catalog/qr/CN001/,components/stickers/CN001.png
CN002,Female Pin Header,https://thibserot.github.io/electronics-catalog/qr/CN002/,components/stickers/CN002.png
CN003,Battery Spring Contacts Set,https://thibserot.github.io/electronics-catalog/qr/CN003/,components/stickers/CN003.png
PS001,TPS63020,https://thibserot.github.io/electronics-catalog/qr/PS001/,components/stickers/PS001.png
PS002,Step down,https://thibserot.github.io/electronics-catalog/qr/PS002/,components/stickers/PS002.png
PS003,LAOMAO 3R3,https://thibserot.github.io/electronics-catalog/qr/PS003/,components/stickers/PS003.png
PS000,DC-DC Converter,https://thibserot.github.io/electronics-catalog/qr/PS000/,components/stickers/PS000.png
ENV001,BME280 BMP280,https://thibserot.github.io/electronics-catalog/qr/ENV001/,components/stickers/ENV001.png
IO001,TTP223,https://thibserot.github.io/electronics-catalog/qr/IO001/,components/stickers/IO001.png
IO003,KY-040,https://thibserot.github.io/electronics-catalog/qr/IO003/,components/stickers/IO003.png
PS301,MCP1700,https://thibserot.github.io/electronics-catalog/qr/PS301/,components/stickers/PS301.png
PS302,HT7333,https://thibserot.github.io/electronics-catalog/qr/PS302/,components/stickers/PS302.png
PS300,LDO,https://thibserot.github.io/electronics-catalog/qr/PS300/,components/stickers/PS300.png
IO101,GPS-14A,https://thibserot.github.io/electronics-catalog/qr/IO101/,components/stickers/IO101.png
IO102,A3144E,https://thibserot.github.io/electronics-catalog/qr/IO102/,components/stickers/IO102.png
IO100,Magnetic Sensors,https://thibserot.github.io/electronics-catalog/qr/IO100/,components/stickers/IO100.png
OT001,LM386,https://thibserot.github.io/electronics-catalog/qr/OT001/,components/stickers/OT001.png
PA001,3296W Potentiometer,https://thibserot.github.io/electronics-catalog/qr/PA001/,components/stickers/PA001.png
PS101,Schottky Diodes,https://thibserot.github.io/electronics-catalog/qr/PS101/,components/stickers/PS101.png
RF001,MFRC522,https://thibserot.github.io/electronics-catalog/qr/RF001/,components/stickers/RF001.png
TS001,DS18B20,https://thibserot.github.io/electronics-catalog/qr/TS001/,components/stickers/TS001.png
